game_id,period,timestamp,game_hour,game_minutes,game_seconds,game_microseconds,frame,possession_trackable_object,possession_group,z,y,x,is_visible,trackable_object,track_id,tec_id,created_at
10000,1,00:00:47.7,0,0,47,700000,487,,away team,,31.44,-24.48,true,2776,2776,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:00:48.6,0,0,48,600000,496,,away team,,10.95,8.55,false,11537,11537,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:00:50.1,0,0,50,100000,511,,away team,,31.54,-2.89,true,18726,18726,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:00:50.4,0,0,50,400000,514,,away team,,9.18,7.99,true,13254,13254,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:00:50.5,0,0,50,500000,515,,away team,,17.69,-25.73,false,7745,7745,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:00:51.1,0,0,51,100000,521,,away team,,3.69,-0.97,true,12140,12140,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:00:52.7,0,0,52,700000,537,,away team,,24.24,3.32,true,11847,11847,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:00:54.4,0,0,54,400000,554,,home team,,20.09,7.45,true,5318,5318,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:02.5,0,1,2,500000,635,,home team,,-7.16,9.19,false,13254,13254,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:02.6,0,1,2,600000,636,,home team,,-25.54,-0.82,true,18724,18724,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:02.9,0,1,2,900000,639,,home team,,-7.4,7.95,false,13254,13254,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:03.2,0,1,3,200000,642,,home team,,-5.72,-10.73,true,11723,11723,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:06,0,1,6,0,670,,home team,,-8.33,-42.28,true,13195,13195,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:35.4,0,1,35,400000,964,,away team,,6.53,-39.07,false,1790,1790,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:36.9,0,1,36,900000,979,,away team,,2.38,-36.71,true,18726,18726,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:39.2,0,1,39,200000,1002,,home team,,0.68,-22.08,false,11537,11537,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:40.8,0,1,40,800000,1018,,home team,,-8.77,-15.87,false,11847,11847,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:41.3,0,1,41,300000,1023,,home team,,7.8,-44.03,true,5318,5318,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:41.8,0,1,41,800000,1028,,away team,,-9.12,-42.27,true,11723,11723,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:42.2,0,1,42,200000,1032,,away team,,6.69,-30.36,true,7745,7745,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:43.4,0,1,43,400000,1044,,away team,,-19.88,-24.92,true,12315,12315,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:45.5,0,1,45,500000,1065,,away team,,-30.51,-26.74,true,851,851,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:45.5,0,1,45,500000,1065,,away team,,-16.83,-28.22,true,18724,18724,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:46,0,1,46,0,1070,,away team,,-9.4,-32.97,true,1790,1790,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:48.6,0,1,48,600000,1096,,away team,,-14.99,-13.35,true,13254,13254,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:49.7,0,1,49,700000,1107,,away team,,-17.89,-2.02,true,3267,3267,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:50.2,0,1,50,200000,1112,,away team,,-25.04,-19.91,false,18763,18763,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:50.4,0,1,50,400000,1114,,away team,,-16.5,-13.29,false,12140,12140,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:54.4,0,1,54,400000,1154,,home team,,-32.91,-8.1,false,851,851,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:54.8,0,1,54,800000,1158,,home team,,-32.61,-7.82,false,851,851,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:57.9,0,1,57,900000,1189,,home team,,-23.95,-12.3,false,9449,9449,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:01:58.7,0,1,58,700000,1197,,home team,,-32.26,-11.24,false,851,851,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:02:02,0,2,2,0,1230,,away team,,7.56,22.07,false,3267,3267,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:02:30.8,0,2,30,800000,1518,,away team,,0.23,30.98,false,11565,11565,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:02:31.7,0,2,31,700000,1527,,away team,,9.87,-17.55,false,7745,7745,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:02:33.9,0,2,33,900000,1549,,away team,,-1.15,-44.91,true,9143,9143,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:02:35.9,0,2,35,900000,1569,,away team,,0.74,-33.79,true,11723,11723,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:02:43.2,0,2,43,200000,1642,,away team,,32.02,-18.53,true,2776,2776,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
10000,1,00:02:43.5,0,2,43,500000,1645,,away team,,-6.36,-10.45,true,12140,12140,a8fd91403028793aa869,2023-12-10 09:36:22.000000 UTC
